,timestamp,pm25,pm10,co,no2,o3,lat,lon
0,2024-09-20T05:00:00+00:00,4.644,15.46,421.612,4.572,18.978,30.24,-97.59
1,2024-09-20T06:00:00+00:00,5.008,13.289,402.991,4.741,13.539,30.24,-97.59
2,2024-09-20T07:00:00+00:00,5.44,14.853,382.522,9.11,10.683,30.24,-97.59
3,2024-09-20T08:00:00+00:00,5.662,16.13,365.291,9.826,7.686,30.24,-97.59
4,2024-09-20T09:00:00+00:00,5.673,17.756,361.298,4.563,4.655,30.24,-97.59
5,2024-09-20T10:00:00+00:00,5.656,17.101,357.743,4.464,1.687,30.24,-97.59
6,2024-09-20T11:00:00+00:00,6.072,20.783,370.914,4.353,0.331,30.24,-97.59
7,2024-09-20T12:00:00+00:00,6.392,21.96,389.296,4.116,2.335,30.24,-97.59
8,2024-09-20T13:00:00+00:00,6.924,20.914,364.587,3.507,11.062,30.24,-97.59
9,2024-09-20T14:00:00+00:00,6.933,17.123,280.895,3.355,22.233,30.24,-97.59
10,2024-09-20T15:00:00+00:00,5.716,12.136,236.321,4.251,34.911,30.24,-97.59
11,2024-09-20T16:00:00+00:00,5.312,9.191,162.081,3.594,53.394,30.24,-97.59
12,2024-09-20T17:00:00+00:00,5.145,11.032,129.335,4.332,68.515,30.24,-97.59
13,2024-09-20T18:00:00+00:00,5.929,12.29,178.689,4.353,70.266,30.24,-97.59
14,2024-09-20T19:00:00+00:00,6.612,10.54,256.783,2.073,66.45,30.24,-97.59
15,2024-09-20T20:00:00+00:00,4.584,12.128,290.522,2.347,61.888,30.24,-97.59
16,2024-09-20T21:00:00+00:00,4.12,10.74,294.057,2.633,61.44,30.24,-97.59
17,2024-09-20T22:00:00+00:00,3.976,9.882,288.639,4.276,67.02,30.24,-97.59
18,2024-09-20T23:00:00+00:00,4.528,12.344,325.883,2.8,67.15,30.24,-97.59
19,2024-09-21T00:00:00+00:00,5.722,15.242,401.192,3.712,56.742,30.24,-97.59
20,2024-09-21T01:00:00+00:00,7.452,22.473,461.408,5.189,45.878,30.24,-97.59
21,2024-09-21T02:00:00+00:00,7.83,16.752,479.461,7.378,40.636,30.24,-97.59
22,2024-09-21T03:00:00+00:00,6.617,19.667,483.203,4.586,33.384,30.24,-97.59
23,2024-09-21T04:00:00+00:00,5.889,17.439,468.732,4.745,23.946,30.24,-97.59
24,2024-09-21T05:00:00+00:00,5.581,14.407,445.256,3.411,16.256,30.24,-97.59
25,2024-09-21T06:00:00+00:00,5.153,14.733,422.675,6.75,9.694,30.24,-97.59
26,2024-09-21T07:00:00+00:00,5.067,13.213,394.594,7.372,4.883,30.24,-97.59
27,2024-09-21T08:00:00+00:00,5.101,14.584,378.476,7.372,1.921,30.24,-97.59
28,2024-09-21T09:00:00+00:00,5.042,13.813,349.467,6.876,-1.013,30.24,-97.59
29,2024-09-21T10:00:00+00:00,5.262,13.259,343.363,5.302,-3.767,30.24,-97.59
30,2024-09-21T11:00:00+00:00,6.033,14.761,347.042,5.047,-4.511,30.24,-97.59
31,2024-09-21T12:00:00+00:00,7.868,52.849,375.007,4.167,-5.131,30.24,-97.59
32,2024-09-21T13:00:00+00:00,8.616,47.562,347.526,4.094,2.829,30.24,-97.59
33,2024-09-21T14:00:00+00:00,6.416,11.84,255.429,3.825,19.447,30.24,-97.59
34,2024-09-21T15:00:00+00:00,5.237,9.624,164.2,4.179,31.341,30.24,-97.59
35,2024-09-21T16:00:00+00:00,7.096,36.232,165.035,3.513,45.664,30.24,-97.59
36,2024-09-21T17:00:00+00:00,7.822,20.723,155.02,2.966,58.118,30.24,-97.59
37,2024-09-21T18:00:00+00:00,6.768,15.987,196.051,5.058,65.132,30.24,-97.59
38,2024-09-21T19:00:00+00:00,6.545,10.619,206.332,3.976,66.334,30.24,-97.59
39,2024-09-21T20:00:00+00:00,5.947,10.789,257.553,3.304,64.259,30.24,-97.59
40,2024-09-21T21:00:00+00:00,5.338,11.679,302.043,3.467,62.857,30.24,-97.59
41,2024-09-21T22:00:00+00:00,5.204,10.469,341.602,3.522,60.072,30.24,-97.59
42,2024-09-21T23:00:00+00:00,5.477,9.038,345.603,3.732,60.871,30.24,-97.59
43,2024-09-22T00:00:00+00:00,6.051,13.291,424.298,5.532,51.104,30.24,-97.59
44,2024-09-22T01:00:00+00:00,6.08,17.225,476.536,9.668,40.178,30.24,-97.59
45,2024-09-22T02:00:00+00:00,6.545,18.393,526.724,6.484,37.26,30.24,-97.59
46,2024-09-22T03:00:00+00:00,6.341,15.332,480.492,4.312,32.376,30.24,-97.59
47,2024-09-22T04:00:00+00:00,6.445,13.749,442.358,5.006,27.056,30.24,-97.59
48,2024-09-22T05:00:00+00:00,6.242,13.33,427.694,5.337,22.666,30.24,-97.59
49,2024-09-22T06:00:00+00:00,6.289,15.531,408.344,9.024,18.411,30.24,-97.59
50,2024-09-22T07:00:00+00:00,6.534,13.826,392.58,16.808,14.729,30.24,-97.59
51,2024-09-22T08:00:00+00:00,6.922,14.237,378.4,12.748,12.035,30.24,-97.59
52,2024-09-22T09:00:00+00:00,7.376,16.592,366.855,14.732,7.732,30.24,-97.59
53,2024-09-22T10:00:00+00:00,7.762,15.733,360.72,7.975,4.757,30.24,-97.59
54,2024-09-22T11:00:00+00:00,8.432,15.981,355.021,7.523,2.342,30.24,-97.59
55,2024-09-22T12:00:00+00:00,8.597,17.941,363.639,6.248,-1.273,30.24,-97.59
56,2024-09-22T13:00:00+00:00,10.065,20.451,367.798,7.079,8.536,30.24,-97.59
57,2024-09-22T14:00:00+00:00,9.664,18.887,302.255,3.926,23.585,30.24,-97.59
58,2024-09-22T15:00:00+00:00,8.79,16.34,257.689,4.346,33.089,30.24,-97.59
59,2024-09-22T16:00:00+00:00,8.225,13.22,163.633,3.606,46.475,30.24,-97.59
60,2024-09-22T17:00:00+00:00,9.743,16.016,173.482,2.386,53.433,30.24,-97.59
61,2024-09-22T18:00:00+00:00,8.908,13.514,159.444,3.671,62.094,30.24,-97.59
62,2024-09-22T19:00:00+00:00,8.419,13.33,243.655,2.74,58.965,30.24,-97.59
63,2024-09-22T20:00:00+00:00,7.647,11.76,277.995,3.147,59.675,30.24,-97.59
64,2024-09-22T21:00:00+00:00,7.716,12.445,313.765,3.196,60.494,30.24,-97.59
65,2024-09-22T22:00:00+00:00,6.882,11.515,357.999,3.785,57.717,30.24,-97.59
66,2024-09-22T23:00:00+00:00,6.674,11.65,369.295,4.763,55.36,30.24,-97.59
